variant_id,canonical_movement,image_path,image_sha256,visual_review,technique_review
SST-FIT-0013-V01,seated-torso-rotation,/fit-v3-images/seated-torso-rotation.png,9267af342475474cf6dd1ea10f8df5fa879662c4b46849e15728cb29509af3e5,delegated AI visual correction review,not individually certified
SST-FIT-0013-V02,seated-torso-rotation,/fit-v3-images/seated-torso-rotation.png,9267af342475474cf6dd1ea10f8df5fa879662c4b46849e15728cb29509af3e5,delegated AI visual correction review,not individually certified
SST-FIT-0013-V03,seated-torso-rotation,/fit-v3-images/seated-torso-rotation.png,9267af342475474cf6dd1ea10f8df5fa879662c4b46849e15728cb29509af3e5,delegated AI visual correction review,not individually certified
SST-FIT-0013-V04,seated-torso-rotation,/fit-v3-images/seated-torso-rotation.png,9267af342475474cf6dd1ea10f8df5fa879662c4b46849e15728cb29509af3e5,delegated AI visual correction review,not individually certified
SST-FIT-0264-V01,side-lying-open-book,/fit-v3-images/side-lying-open-book.png,b0641c3427be43d9e492071cd79663611e59e235b36c8fc76e8924745f3e0bf1,delegated AI visual correction review,not individually certified
SST-FIT-0264-V02,side-lying-open-book,/fit-v3-images/side-lying-open-book.png,b0641c3427be43d9e492071cd79663611e59e235b36c8fc76e8924745f3e0bf1,delegated AI visual correction review,not individually certified
SST-FIT-0264-V03,side-lying-open-book,/fit-v3-images/side-lying-open-book.png,b0641c3427be43d9e492071cd79663611e59e235b36c8fc76e8924745f3e0bf1,delegated AI visual correction review,not individually certified
SST-FIT-0264-V04,side-lying-open-book,/fit-v3-images/side-lying-open-book.png,b0641c3427be43d9e492071cd79663611e59e235b36c8fc76e8924745f3e0bf1,delegated AI visual correction review,not individually certified
SST-FIT-0025-V01,sideways-walking,/fit-v3-images/sideways-walking.png,5e72045b389a6d68c0bf9cc1ef7817416274ec2e34ec2077dd2f5b2e51e75131,delegated AI visual correction review,not individually certified
SST-FIT-0025-V02,sideways-walking,/fit-v3-images/sideways-walking.png,5e72045b389a6d68c0bf9cc1ef7817416274ec2e34ec2077dd2f5b2e51e75131,delegated AI visual correction review,not individually certified
SST-FIT-0025-V03,sideways-walking,/fit-v3-images/sideways-walking.png,5e72045b389a6d68c0bf9cc1ef7817416274ec2e34ec2077dd2f5b2e51e75131,delegated AI visual correction review,not individually certified
SST-FIT-0294-V01,standing-alternating-hamstring-curl,/fit-v3-images/standing-alternating-hamstring-curl.png,8c5450bfd2b91b1304b1f36b11472ed091064363090027c848e02c57fa90a51b,delegated AI visual correction review,not individually certified
SST-FIT-0294-V02,standing-alternating-hamstring-curl,/fit-v3-images/standing-alternating-hamstring-curl.png,8c5450bfd2b91b1304b1f36b11472ed091064363090027c848e02c57fa90a51b,delegated AI visual correction review,not individually certified
SST-FIT-0294-V03,standing-alternating-hamstring-curl,/fit-v3-images/standing-alternating-hamstring-curl.png,8c5450bfd2b91b1304b1f36b11472ed091064363090027c848e02c57fa90a51b,delegated AI visual correction review,not individually certified
SST-FIT-0294-V04,standing-alternating-hamstring-curl,/fit-v3-images/standing-alternating-hamstring-curl.png,8c5450bfd2b91b1304b1f36b11472ed091064363090027c848e02c57fa90a51b,delegated AI visual correction review,not individually certified
SST-FIT-0294-V05,standing-alternating-hamstring-curl,/fit-v3-images/standing-alternating-hamstring-curl.png,8c5450bfd2b91b1304b1f36b11472ed091064363090027c848e02c57fa90a51b,delegated AI visual correction review,not individually certified
SST-FIT-0063-V01,standing-hamstring-curl,/fit-v3-images/standing-hamstring-curl.png,c2b48e758add8e9c65bc7cf9dc1197c1856a86a0d9352d6750c96d0847e55f37,delegated AI visual correction review,not individually certified
SST-FIT-0063-V02,standing-hamstring-curl,/fit-v3-images/standing-hamstring-curl.png,c2b48e758add8e9c65bc7cf9dc1197c1856a86a0d9352d6750c96d0847e55f37,delegated AI visual correction review,not individually certified
SST-FIT-0063-V03,standing-hamstring-curl,/fit-v3-images/standing-hamstring-curl.png,c2b48e758add8e9c65bc7cf9dc1197c1856a86a0d9352d6750c96d0847e55f37,delegated AI visual correction review,not individually certified
SST-FIT-0063-V04,standing-hamstring-curl,/fit-v3-images/standing-hamstring-curl.png,c2b48e758add8e9c65bc7cf9dc1197c1856a86a0d9352d6750c96d0847e55f37,delegated AI visual correction review,not individually certified
SST-FIT-0063-V05,standing-hamstring-curl,/fit-v3-images/standing-hamstring-curl.png,c2b48e758add8e9c65bc7cf9dc1197c1856a86a0d9352d6750c96d0847e55f37,delegated AI visual correction review,not individually certified
